	symbol	direction	entry_price	exit_price	outcome	return_pct (%)	PnL ($)	entry_time	exit_time
192	UVXY	Long	138.75	140.5354302	TP hit	1.286796537	12.06796537	2024-09-04T13:55:00.000	2024-09-04T14:00:00.000
191	UVXY	Long	145.3	144.8398664	SL hit	-0.316678323	-3.96678323	2024-09-04T12:47:00.000	2024-09-04T13:33:00.000
190	UVXY	Long	147.25	147.6754996	SL hit	0.288964048	2.089640478	2024-09-04T12:02:00.000	2024-09-04T12:40:00.000
189	UVXY	Long	111.4	110.9725814	SL hit	-38.37%	-4.636791595	2024-08-30T16:53:00.000	2024-08-30T16:57:00.000
188	UVXY	Short	111.8	111.9845826	SL hit	-16.51%	-2.451006997	2024-08-30T15:32:00.000	2024-08-30T15:49:00.000
187	UVXY	Short	115.2	115.9233546	SL hit	-62.79%	-7.079119904	2024-08-29T18:46:00.000	2024-08-29T18:48:00.000
186	UVXY	Short	114.35	114.8195375	SL hit	-41.06%	-4.906143795	2024-08-29T18:40:00.000	2024-08-29T18:43:00.000
185	UVXY	Short	114.7	114.8837257	SL hit	-16.02%	-2.401793481	2024-08-28T15:13:00.000	2024-08-28T15:14:00.000
184	UVXY	Short	115.4	115.7264374	SL hit	-28.29%	-3.628746926	2024-08-26T17:46:00.000	2024-08-26T17:47:00.000
183	UVXY	Short	116.95	117.5623282	SL hit	-52.36%	-6.035811865	2024-08-26T14:38:00.000	2024-08-26T15:47:00.000
182	UVXY	Short	118.85	119.2657666	SL hit	-34.98%	-4.29824649	2024-08-23T15:48:00.000	2024-08-23T15:50:00.000
181	UVXY	Long	117.4	117.0250325	SL hit	-31.94%	-3.993931122	2024-08-23T15:16:00.000	2024-08-23T15:18:00.000
180	UVXY	Short	118.95	119.2608319	SL hit	-26.13%	-3.413130894	2024-08-23T14:48:00.000	2024-08-23T14:49:00.000
179	UVXY	Long	122.3	123.8063841	TP hit	123.17%	11.51712301	2024-08-22T18:15:00.000	2024-08-22T18:25:00.000
178	UVXY	Long	118.05	117.589083	SL hit	-39.04%	-4.704421512	2024-08-22T16:24:00.000	2024-08-22T16:27:00.000
177	UVXY	Long	119.8	119.768162	SL hit	-2.66%	-1.065759619	2024-08-22T15:59:00.000	2024-08-22T16:04:00.000
176	UVXY	Long	114.7	116.6164987	TP hit	167.09%	15.90879456	2024-08-21T14:42:00.000	2024-08-21T14:50:00.000
175	UVXY	Long	115.85	117.4575815	TP hit	138.76%	13.07640449	2024-08-21T14:01:00.000	2024-08-21T14:05:00.000
