variant,trades,long_trades,short_trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,max_drawdown_pct,sharpe_ratio,basket,entry_time,exit_time,threshold_pct,breadth_min
median_entry0929_exit1100_thr20_b60,3,1,2,33.33333333333333,-0.6084423573383627,-0.21352425180597645,-1.822912351860384,-1.8832533496853987,-1.1302687852818412,median,09:29,1100,0.2,0.6
median_entry0929_exit1600_thr15_b60,3,1,2,66.66666666666666,-0.6007201599798381,0.748421052631585,-1.8501234183331716,-3.3947959436062436,-0.42991139654824073,median,09:29,1600,0.15,0.6
median_entry0929_exit1600_thr20_b60,3,1,2,66.66666666666666,-0.6007201599798381,0.748421052631585,-1.8501234183331716,-3.3947959436062436,-0.42991139654824073,median,09:29,1600,0.2,0.6
ew_entry0930_exit1100_thr30_none,8,5,3,50.0,-0.23217366944344506,0.0021295038700486907,-1.854337979751286,-2.0576019641210697,-1.1176579785162442,ew,09:30,1100,0.3,
ew_entry0929_exit1100_thr10_b55,10,7,3,40.0,-0.18676799124317958,-0.033994900171154696,-1.866282575180811,-1.9296552241919174,-1.0464062407292445,ew,09:29,1100,0.1,0.55
ew_entry0930_exit1100_thr40_none,7,4,3,42.857142857142854,-0.2691773475918894,-0.01105712409716679,-1.8806850543368503,-2.0576019641210697,-1.1404258448092413,ew,09:30,1100,0.4,
median_entry0929_exit1600_thr10_none,23,13,10,56.52173913043478,-0.07503488845669241,0.12048096192386126,-1.889981827335352,-8.25878082178615,-0.28161038322467397,median,09:29,1600,0.1,
median_entry0930_exit1000_thr25_none,14,7,7,14.285714285714285,-0.14141202587827453,-0.09220124248868526,-1.9629940886141006,-2.0152167537395016,-3.6814779371279345,median,09:30,1000,0.25,
median_entry0930_exit1100_thr25_b55,3,0,3,33.33333333333333,-0.6579562075957868,-0.3636317057549831,-1.9695545339122433,-2.0586124691459373,-1.2232904868677326,median,09:30,1100,0.25,0.55
ew_entry0930_exit1100_thr25_none,13,10,3,46.15384615384615,-0.1522644170367911,-0.01105712409716679,-1.974762467870983,-2.276085596575006,-1.159163699147097,ew,09:30,1100,0.25,
