variant,branch_type,symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,outcome,notes
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,RBLX,2024-10-31,2,Long,2024-10-31T13:36:00,2024-10-31T13:40:00,50.0,48.5072,-2.985600000000005,-30.65600000000005,SL hit,Entry: Long @ 50.0000 (signal-bar close) | regime=earnings_wave_long | SL=48.5072 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:39:00,225.26,221.24,1.78460445707182,17.0460445707182,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,TEAM,2024-11-01,2,Long,2024-11-01T13:40:00,2024-11-01T13:51:00,220.9,217.5865,-1.5000000000000022,-15.800000000000024,SL hit,Entry: Long @ 220.9000 (signal-bar close) | regime=earnings_wave_long | SL=217.5865 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,PLTR,2025-02-04,1,Short,2025-02-04T14:30:00,2025-02-04T14:32:00,100.904,102.85,-1.9285657654800583,-20.085657654800585,Counter-signal exit,Entry: Short @ 100.9040 (signal-bar close) | regime=earnings_wave_short | SL=105.5093 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:51:00,342.93,346.3,-0.9827078412504022,-10.627078412504023,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,APLD,2025-07-31,1,Short,2025-07-31T13:30:00,2025-07-31T13:31:00,12.306,12.876800000000001,-4.638387778319535,-47.18387778319534,SL hit,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_short | SL=12.8768 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,IDXX,2025-08-04,1,Short,2025-08-04T13:36:00,2025-08-04T13:38:00,652.01,655.51,-0.5368015827978099,-6.168015827978098,Counter-signal exit,Entry: Short @ 652.0100 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,APLD,2025-10-10,1,Short,2025-10-10T13:11:00,2025-10-10T13:13:00,36.7603,37.1876,-1.162395301452933,-12.42395301452933,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_wave_short | SL=38.9825 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,DDOG,2025-11-06,1,Short,2025-11-06T14:25:00,2025-11-06T14:30:00,179.71,183.3292,-2.0139113015413597,-20.9391130154136,Counter-signal exit,Entry: Short @ 179.7100 (signal-bar close) | regime=earnings_wave_short | SL=193.0916 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,DDOG,2026-02-10,1,Short,2026-02-10T14:28:00,2026-02-10T14:30:00,125.34,126.985,-1.3124301898835136,-13.924301898835136,Counter-signal exit,Entry: Short @ 125.3400 (signal-bar close) | regime=earnings_wave_short | SL=137.8220 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,AXON,2026-02-25,1,Short,2026-02-25T13:56:00,2026-02-25T14:07:00,505.98,496.95,1.7846555199810328,17.046555199810328,Counter-signal exit,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,AXON,2026-02-25,2,Long,2026-02-25T14:08:00,2026-02-25T14:11:00,498.9515,491.105083,-1.5725811025720997,-16.525811025720998,SL hit,Entry: Long @ 498.9515 (signal-bar close) | regime=earnings_wave_long | SL=491.1051 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,INTC,2026-04-24,1,Short,2026-04-24T13:01:00,2026-04-24T13:21:00,83.4016,82.79,0.733319264858223,6.533192648582229,Counter-signal exit,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_short | SL=87.7534 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,INTC,2026-04-24,2,Long,2026-04-24T13:22:00,2026-04-24T13:35:00,82.3,83.8,1.8226002430133659,17.426002430133657,Counter-signal exit,Entry: Long @ 82.3000 (signal-bar close) | regime=earnings_wave_long | SL=81.0655 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexitema_roll,short_plus_conditional_long,STX,2026-04-29,1,Short,2026-04-29T13:02:00,2026-04-29T13:09:00,664.5,667.0,-0.3762227238525207,-4.562227238525207,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:38:00,110.35,111.26,-0.8246488445854199,-9.0464884458542,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:35:00,49.95,49.69,0.5205205205205308,4.405205205205308,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,RBLX,2024-10-31,2,Long,2024-10-31T13:43:00,2024-10-31T14:03:00,49.74,51.8001,4.141737032569357,40.61737032569358,Counter-signal exit,Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:39:00,225.26,221.24,1.78460445707182,17.0460445707182,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,TEAM,2024-11-01,2,Long,2024-11-01T13:40:00,2024-11-01T13:51:00,220.9,217.5865,-1.5000000000000022,-15.800000000000024,SL hit,Entry: Long @ 220.9000 (signal-bar close) | regime=earnings_wave_long | SL=217.5865 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,PLTR,2025-02-04,1,Short,2025-02-04T14:30:00,2025-02-04T14:32:00,100.904,102.85,-1.9285657654800583,-20.085657654800585,Counter-signal exit,Entry: Short @ 100.9040 (signal-bar close) | regime=earnings_wave_short | SL=105.5093 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:51:00,342.93,346.3,-0.9827078412504022,-10.627078412504023,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,APLD,2025-07-31,1,Short,2025-07-31T13:30:00,2025-07-31T13:31:00,12.306,12.876800000000001,-4.638387778319535,-47.18387778319534,SL hit,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_short | SL=12.8768 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,IDXX,2025-08-04,1,Short,2025-08-04T13:36:00,2025-08-04T13:38:00,652.01,655.51,-0.5368015827978099,-6.168015827978098,Counter-signal exit,Entry: Short @ 652.0100 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentryema_turn_lmom0.00_lexittime_20,short_plus_conditional_long,APLD,2025-10-10,1,Short,2025-10-10T13:11:00,2025-10-10T13:13:00,36.7603,37.1876,-1.162395301452933,-12.42395301452933,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_wave_short | SL=38.9825 | TP=none | session_exit=eod
