symbol,direction,regime,entry_time_et,exit_time_et,entry_date_et,entry_weekday,entry_bucket_30m,entry_hour_et,leveraged_return_pct,pnl,hold_minutes,outcome,win
GLD,Long,spike_momentum_long,2026-01-05 10:03:00-05:00,2026-01-29 10:07:00-05:00,2026-01-05,Monday,10:00,10,21.94008039783487,218.6008039783487,34564.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2026-01-29 16:14:00-05:00,2026-01-29 16:44:00-05:00,2026-01-29,Thursday,16:00,16,-0.3827411781302172,-4.627411781302172,30.0,Trail stop,0.0
GLD,Short,intraday_pullback_short,2026-02-02 04:56:00-05:00,2026-02-02 05:37:00-05:00,2026-02-02,Monday,04:30,4,1.1999999999999975,9.72271999999998,41.0,TP hit,1.0
GLD,Long,spike_momentum_long,2026-02-02 08:05:00-05:00,2026-02-02 08:40:00-05:00,2026-02-02,Monday,08:00,8,-1.2,-12.8,35.0,Trail stop,0.0
GLD,Long,shock_rebound_long,2026-02-13 08:03:00-05:00,2026-02-13 09:41:00-05:00,2026-02-13,Friday,08:00,8,-0.06700814289465994,-1.4700814289465995,98.0,Trail stop,0.0
GLD,Long,rsi_flush_rebound_long,2026-03-02 08:02:00-05:00,2026-03-02 08:03:00-05:00,2026-03-02,Monday,08:00,8,0.49999999999998807,4.199999999999881,1.0,TP hit,1.0
GLD,Long,shock_rebound_long,2026-03-02 08:03:00-05:00,2026-03-02 08:05:00-05:00,2026-03-02,Monday,08:00,8,-0.5884778140490918,-6.684778140490919,2.0,Trail stop,0.0
GLD,Short,intraday_pullback_short,2026-03-03 08:31:00-05:00,2026-03-03 09:00:00-05:00,2026-03-03,Tuesday,08:30,8,0.32823377248087204,2.361441919999996,29.0,Trail stop,1.0
GLD,Short,shock_reversal_short,2026-03-19 08:01:00-04:00,2026-03-19 08:02:00-04:00,2026-03-19,Thursday,08:00,8,-0.7999999999999979,-7.502881759999982,1.0,Trail stop,0.0
GLD,Short,cascade_breakdown_short,2026-03-19 09:00:00-04:00,2026-03-19 09:03:00-04:00,2026-03-19,Thursday,09:00,9,0.5934270469318603,4.296601920000148,3.0,Trail stop,1.0
GLD,Short,intraday_pullback_short,2026-03-19 09:21:00-04:00,2026-03-19 09:32:00-04:00,2026-03-19,Thursday,09:00,9,-0.2070874017623328,-2.410960000000071,11.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2026-03-30 04:10:00-04:00,2026-04-02 04:00:00-04:00,2026-03-30,Monday,04:00,4,2.620556395669802,25.405563956698018,4310.0,Trail stop,1.0
GLD,Short,intraday_pullback_short,2026-04-02 04:38:00-04:00,2026-04-02 08:21:00-04:00,2026-04-02,Thursday,04:30,4,0.4265306122449031,2.9545200000000436,223.0,Trail stop,1.0
