,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
262,UVXY,normal,Long,100.1,101.9213195,TP hit,1.8195000000000012,17.39500000000001,2025-01-07T16:00:00.000,2025-01-07T16:11:00.000,Entry: Long @ 100.1000 (next-bar open) | regime=normal | SL=99.7190 | TP=101.9213
261,UVXY,normal,Long,99.45,100.70462153196623,TP hit,1.2615601125854423,11.815601125854423,2025-01-07T15:27:00.000,2025-01-07T15:30:00.000,Entry: Long @ 99.4500 (next-bar open) | regime=normal | SL=99.0585 | TP=100.7046
260,UVXY,normal,Long,97.75,97.46409265096277,SL hit,-0.292488336610978,-3.72488336610978,2025-01-06T20:59:00.000,2025-01-06T21:00:00.000,Entry: Long @ 97.7500 (next-bar open) | regime=normal | SL=97.4641 | TP=99.1549
259,UVXY,normal,Short,99.95,100.28656412054433,SL hit,-0.3367324867877178,-4.167324867877178,2025-01-06T19:00:00.000,2025-01-06T19:01:00.000,Entry: Short @ 99.9500 (next-bar open) | regime=normal | SL=100.2866 | TP=98.7116
258,UVXY,normal,Short,98.98,99.44530094681686,SL hit,-0.4700959252544487,-5.5009592525444875,2025-01-06T18:50:00.000,2025-01-06T18:57:00.000,Entry: Short @ 98.9800 (next-bar open) | regime=normal | SL=99.4453 | TP=97.7188
257,UVXY,normal,Long,96.15,96.04202507897307,SL hit,-0.1122984098044066,-1.922984098044066,2025-01-06T14:34:00.000,2025-01-06T15:02:00.000,Entry: Long @ 96.1500 (next-bar open) | regime=normal | SL=96.0420 | TP=97.5560
256,UVXY,normal,Long,100.4,100.13669856819416,SL hit,-0.2622524221173734,-3.4225242211737337,2025-01-03T16:43:00.000,2025-01-03T16:48:00.000,Entry: Long @ 100.4000 (next-bar open) | regime=normal | SL=100.1367 | TP=101.7516
255,UVXY,normal,Long,101.82,101.40321835227991,SL hit,-0.4093318087999272,-4.893318087999272,2025-01-03T16:31:00.000,2025-01-03T16:36:00.000,Entry: Long @ 101.8200 (next-bar open) | regime=normal | SL=101.4032 | TP=102.9997
254,UVXY,normal,Long,102.25,103.83358411626541,TP hit,1.5487375220199642,14.687375220199641,2025-01-03T15:09:00.000,2025-01-03T15:17:00.000,Entry: Long @ 102.2500 (next-bar open) | regime=normal | SL=101.8216 | TP=103.8336
253,UVXY,normal,Long,102.75,104.0085,TP hit,1.224817518248173,11.448175182481732,2025-01-03T14:40:00.000,2025-01-03T14:47:00.000,Entry: Long @ 102.7500 (next-bar open) | regime=normal | SL=102.2700 | TP=104.0085
